contigName	contigLen	totalAvgDepth	out.sorted.bam	out.sorted.bam-var
k99_157	1468	8.9909	8.9909	6.87765
k99_231	5303	9.8857	9.8857	8.21788
k99_356	6681	9.36579	9.36579	9.92307
k99_331	9121	9.73091	9.73091	8.90451
k99_307	6007	9.5747	9.57487	8.14454
k99_113	1054	9.3396	9.3396	9.40277
k99_158	1346	8.96906	8.96906	8.2409
k99_382	2621	9.60664	9.60664	8.01845
k99_206	11549	10.079	10.079	9.60632
k99_6	3599	8.95187	8.95187	8.07426
k99_280	3762	9.89784	9.89784	6.68439
k99_258	2951	9.84934	9.8497	9.98633
k99_232	2554	7.44967	7.44967	7.86971
k99_35	4713	9.72277	9.72277	11.122
k99_55	4955	9.75213	9.75213	7.15689
k99_82	6562	9.12898	9.12898	9.19947
k99_132	7978	9.47701	9.47701	9.50911
k99_281	1494	9.5558	9.5558	8.28429
k99_308	2351	9.98046	9.98046	8.99986
k99_259	1514	10.3299	10.3299	14.0936
k99_207	2173	8.99357	8.99357	9.20715
k99_233	1067	9.1723	9.1723	10.9244
k99_332	3522	10.6569	10.6569	11.4613
k99_83	1182	8.8876	8.8876	9.85158
k99_282	1171	12.2165	12.2165	10.309
k99_309	1208	10.0737	10.0737	7.40606
k99_182	9804	9.86016	9.86016	8.16605
k99_36	2345	9.71298	9.71298	7.45451
k99_333	1344	9.8928	9.8928	7.51572
k99_133	1952	9.44229	9.44229	10.5522
k99_56	2744	9.58057	9.58057	11.1931
k99_358	5513	9.44565	9.44565	7.80761
k99_116	4477	9.47793	9.47793	10.2638
k99_208	2736	9.04756	9.04756	10.4685
k99_383	5341	9.81102	9.81102	8.17989
k99_7	4851	9.1104	9.1104	9.21675
k99_159	6362	10.2394	10.2394	9.35517
k99_283	2873	11.4179	11.4183	14.239
k99_334	1939	9.71213	9.71213	10.0541
k99_183	1945	9.96992	9.96992	14.0291
k99_134	2005	9.31213	9.31213	10.0822
k99_209	1341	10.3661	10.3661	8.59021
k99_234	4326	9.69085	9.69085	9.18943
k99_360	2149	10.0955	10.0955	6.71508
k99_37	3798	9.16228	9.16228	8.68497
k99_335	2598	9.68832	9.68832	7.65964
k99_160	2764	9.95065	9.95065	7.00825
k99_235	2088	9.64345	9.64345	8.20167
k99_136	2105	9.46598	9.46598	7.63485
k99_284	4125	9.58818	9.58818	9.98265
k99_260	7931	9.75594	9.75594	8.92064
k99_336	2004	9.90507	9.90507	8.21546
k99_361	3982	9.78314	9.78314	9.95212
k99_184	5795	9.48415	9.48415	9.26743
k99_236	3269	9.26387	9.26387	7.89345
k99_210	6185	9.80911	9.80911	11.9478
k99_362	1120	9.51546	9.51546	12.3573
k99_262	2201	9.29498	9.29498	6.92906
k99_161	4121	8.97431	8.97431	8.68548
k99_310	9595	9.84352	9.84352	8.84593
k99_285	3640	9.68825	9.68825	7.35424
k99_363	1991	8.51983	8.51983	11.3954
k99_137	5883	10.1695	10.1695	11.5885
k99_162	1972	9.74149	9.74149	14.3994
k99_185	2819	9.42713	9.42713	8.27033
k99_57	10793	8.88997	8.88997	7.96162
k99_337	5510	8.71194	8.71194	7.41589
k99_311	3053	10.0444	10.0444	9.78967
k99_384	11389	9.93843	9.93843	8.35014
k99_8	10711	10.2874	10.2874	9.72773
k99_84	13781	10.2709	10.2709	12.8137
k99_312	1072	8.9577	8.9577	5.4043
k99_239	4735	10.5557	10.5557	10.9146
k99_187	2310	8.8537	8.8537	10.2417
k99_164	2699	8.6787	8.6787	7.62414
k99_211	6107	9.80645	9.80645	7.76618
k99_385	2123	8.46224	8.46224	9.2324
k99_313	1991	11.1668	11.1668	13.5619
k99_286	5537	9.49452	9.49452	9.14675
k99_117	14547	10.1905	10.1905	9.36539
k99_140	3383	10.4856	10.4856	9.35815
k99_86	2321	10.0493	10.0493	9.29661
k99_38	12398	9.59185	9.59185	9.44539
k99_386	1978	9.23359	9.23359	10.3411
k99_118	1702	9.63918	9.63918	9.64641
k99_58	5852	10.2829	10.2829	9.01044
k99_87	2166	9.99702	9.99702	9.83026
k99_39	1301	9.43441	9.43441	11.3016
k99_165	4868	10.1477	10.1477	9.40989
k99_142	3012	9.46296	9.46296	11.2387
k99_364	9614	9.89582	9.89582	9.35936
k99_88	3639	9.34394	9.34394	8.38917
k99_41	2965	9.81634	9.81634	8.72688
k99_61	2980	9.5417	9.5417	5.76408
k99_366	1118	9.87603	9.87603	7.31655
k99_387	5218	9.65746	9.65746	7.66048
k99_143	3399	9.83657	9.83657	12.9378
k99_338	10745	9.4958	9.4958	10.0529
k99_240	8341	10.4297	10.4297	10.4075
k99_90	1176	11.3207	11.3207	7.25609
k99_119	5854	9.88885	9.88885	8.87448
k99_9	11138	9.61267	9.61267	7.77573
k99_263	14529	9.70478	9.70478	9.38152
k99_189	10707	9.88235	9.88245	9.9572
k99_144	1534	9.23555	9.23555	13.2995
k99_91	1436	9.87636	9.87636	8.0166
k99_62	2361	10.033	10.033	7.99301
k99_339	1999	10.1796	10.1796	7.27728
k99_11	1141	9.17558	9.17558	5.13885
k99_388	3129	10.1158	10.1158	10.5456
k99_92	1001	7.52879	7.52879	13.9883
k99_367	4219	9.79381	9.79381	9.22266
k99_191	1289	7.88499	7.88499	7.69239
k99_241	3693	9.33418	9.33418	11.5151
k99_146	1668	8.47826	8.47826	8.47248
k99_340	2112	10.183	10.183	7.62025
k99_120	4015	10.6078	10.6078	10.9864
k99_63	3258	9.89254	9.89254	9.88684
k99_264	4078	9.99465	9.99465	10.946
k99_287	12459	9.50483	9.50483	8.14126
k99_192	2259	9.75154	9.75154	9.12797
k99_122	1152	10.5758	10.5758	10.2325
k99_265	1207	10.2025	10.2025	10.1806
k99_93	3741	10.1974	10.1974	8.18968
k99_64	1827	9.27013	9.27013	10.5135
k99_342	1886	10.0311	10.0311	8.98579
k99_42	7741	9.57766	9.57766	9.87205
k99_369	3146	10.7266	10.7266	12.9904
k99_65	1194	9.52682	9.52682	5.67233
k99_288	2850	9.91259	9.91259	8.56584
k99_94	2227	9.43669	9.43669	9.33574
k99_12	6066	9.66041	9.66041	9.2899
k99_212	17246	9.87389	9.87389	8.95219
k99_95	1029	8.51536	8.5165	11.4915
k99_195	3081	9.31559	9.31559	11.0569
k99_149	5404	12.2514	12.2514	22.9482
k99_389	7773	9.88181	9.88181	8.91364
k99_167	14158	9.77392	9.77392	8.48038
k99_289	3011	10.8427	10.8427	10.7815
k99_123	5427	9.58158	9.58158	7.48379
k99_96	2090	11.0072	11.0072	8.78283
k99_213	1958	9.77323	9.77323	9.80801
k99_266	6221	10.1861	10.1861	11.8101
k99_124	1293	10.9781	10.9781	8.01617
k99_371	4504	8.77561	8.77561	8.81597
k99_242	9340	10.3252	10.3252	10.1247
k99_290	2040	9.44233	9.44233	10.6427
k99_314	20427	9.68723	9.68723	8.61234
k99_150	3843	10.417	10.417	10.0017
k99_13	5413	12.034	12.034	19.0465
k99_168	2853	9.67148	9.67148	8.89868
k99_390	3540	10.2298	10.2298	10.0708
k99_215	1990	9.53261	9.53261	6.56012
k99_126	1708	10.3229	10.3229	11.4095
k99_66	8147	9.80605	9.80605	10.4166
k99_291	2826	10.3558	10.3558	10.6801
k99_14	2020	8.81925	8.81925	7.99942
k99_43	9101	10.0225	10.0225	8.83373
k99_151	2479	9.3392	9.3392	10.7148
k99_170	2284	9.76804	9.76804	6.89738
k99_97	4868	9.14646	9.14646	6.69957
k99_343	10210	9.27455	9.27455	6.94479
k99_15	1224	9.9581	9.9581	7.60773
k99_315	4209	9.9559	9.9559	10.1851
k99_216	3764	9.18567	9.18567	10.9602
k99_293	1476	9.99095	9.9917	7.81498
k99_67	2715	9.45185	9.45185	7.32654
k99_98	1737	9.07435	9.07435	10.1773
k99_152	2409	10.7477	10.7477	11.6679
k99_127	4160	9.88229	9.88229	7.45197
k99_16	2343	9.62198	9.62198	7.68602
k99_68	1023	9.18099	9.18099	6.18736
k99_372	6936	9.23637	9.23637	9.40047
k99_99	1204	9.11954	9.11954	17.9345
k99_294	1830	9.60655	9.60714	10.1302
k99_171	4145	9.34393	9.34393	9.44847
k99_153	2850	9.95704	9.95704	7.02454
k99_391	9720	9.75528	9.75528	9.94954
k99_373	4266	8.53134	8.53134	9.15501
k99_316	7194	9.75951	9.75951	8.61663
k99_44	8056	9.59221	9.59221	8.43063
k99_344	7606	9.07082	9.07082	7.15847
k99_17	5693	9.76908	9.76908	9.58428
k99_217	7022	9.69238	9.69238	10.1389
k99_173	3973	9.34632	9.34632	8.39177
k99_196	15760	10.1031	10.1031	9.4807
k99_392	1970	10.3352	10.3352	10.5298
k99_100	6074	10.53	10.53	10.1895
k99_267	13588	9.35928	9.35928	10.3004
k99_317	2920	10.1556	10.1556	9.24438
k99_71	6659	9.30634	9.30634	11.0824
k99_101	1418	10.2658	10.2658	18.2726
k99_218	1875	9.26087	9.26087	7.93071
k99_243	13461	9.5071	9.5071	9.99043
k99_128	8565	9.38277	9.38277	9.3676
k99_219	1112	10.659	10.659	7.12401
k99_295	8506	9.40067	9.40067	9.7366
k99_393	2949	9.83137	9.83137	8.21035
k99_244	1505	10.2317	10.2317	9.40564
k99_175	3453	9.8677	9.8677	9.90222
k99_319	3354	10.4844	10.4844	10.5045
k99_19	3917	9.16963	9.16963	7.989
k99_45	5366	9.57266	9.57266	7.20627
k99_176	1589	9.27797	9.27797	9.14384
k99_220	2723	8.92305	8.92344	9.73246
k99_103	4692	8.82453	8.82453	7.80736
k99_320	3126	9.73253	9.73253	7.84375
k99_374	9013	9.51845	9.51845	9.26752
k99_246	4146	9.75125	9.75125	7.81544
k99_296	5488	9.52904	9.52904	10.0583
k99_268	8736	10.1853	10.1853	10.2471
k99_221	3489	9.43845	9.43845	7.83384
k99_73	7266	9.84767	9.84767	10.8422
k99_21	5359	10.6114	10.6116	10.2782
k99_395	7138	10.076	10.076	7.87785
k99_269	2581	10.3007	10.3007	11.1848
k99_222	2848	9.30689	9.30689	7.3384
k99_46	6835	9.08751	9.08751	7.0075
k99_375	4471	10.0005	10.0005	8.07456
k99_345	16109	9.43587	9.43587	9.18865
k99_321	7423	10.1134	10.1134	13.4385
k99_270	1547	9.72226	9.72226	19.0947
k99_223	1933	8.80707	8.80707	6.25567
k99_322	1047	8.45596	8.45596	7.62334
k99_249	3991	10.4496	10.4496	11.4336
k99_224	1091	9.50797	9.50797	5.71829
k99_74	5508	9.77342	9.77361	9.78382
k99_22	5712	9.26411	9.26411	9.91215
k99_297	9012	9.79045	9.79045	9.86833
k99_376	3566	9.95521	9.95521	9.38811
k99_252	1365	9.85844	9.85844	9.72301
k99_324	2979	9.92895	9.92895	8.66223
k99_272	3711	9.64252	9.64252	9.00715
k99_397	6501	9.72949	9.72949	8.67969
k99_377	2471	10.2396	10.2396	9.93653
k99_23	3140	9.3903	9.3903	8.17584
k99_273	1280	9.90796	9.90796	10.4202
k99_298	3711	9.26285	9.26285	6.8635
k99_49	6763	9.29487	9.29487	8.10707
k99_326	3425	11.527	11.527	15.6349
k99_346	9445	10.0224	10.0225	7.8801
k99_225	6430	9.76815	9.76815	11.5943
k99_327	1338	8.75758	8.75758	4.50729
k99_24	2922	11.1093	11.1093	12.3853
k99_398	3754	9.9359	9.9359	9.53538
k99_76	6659	9.2747	9.27485	9.40403
k99_277	1906	9.62984	9.62984	9.72384
k99_226	1108	8.81733	8.81733	8.63849
k99_25	1174	13.0752	13.0752	13.1451
k99_77	2143	10.0196	10.0196	9.59937
k99_177	18807	9.7721	9.7721	9.10676
k99_347	5851	9.44869	9.44869	8.50538
k99_198	24823	9.61885	9.61885	8.68757
k99_227	4107	10.2173	10.2173	7.37742
k99_278	5714	10.1084	10.1084	8.91528
k99_378	8571	10.2147	10.2147	12.121
k99_50	9914	9.21334	9.21334	9.57604
k99_299	10082	10.1402	10.1402	8.08813
k99_348	3072	8.83676	8.83676	8.87471
k99_202	1453	10.4774	10.4774	6.51848
k99_51	1903	10.3725	10.3725	9.22249
k99_178	4955	9.60333	9.60354	7.82272
k99_203	2085	9.94884	9.94884	9.56564
k99_328	12539	9.86149	9.86149	8.48846
k99_349	4820	9.53854	9.53854	10.6083
k99_400	10678	9.33273	9.33273	9.14946
k99_300	8549	9.9844	9.9844	8.47932
k99_403	1000	9.21529	9.21529	14.2068
k99_228	10697	12.3075	12.3076	33.6318
k99_350	8847	10.3938	10.3938	9.32075
k99_301	6952	10.3586	10.3586	9.15354
k99_352	2045	8.98839	8.98839	12.5891
k99_302	1259	10.0631	10.0631	8.49059
k99_303	2684	10.062	10.062	6.6977
k99_353	4841	9.11064	9.11064	7.39437
